column,dtype,unique,sample_vals
EXT_SOURCE_3,float64,814,"0.1393757800997895, 0.7295666907060153, 0.6212263380626669, 0.4920600938649263, 0.5406544504453575"
APARTMENTS_AVG,float64,2339,"0.0247, 0.0959, 0.0825, 0.1474, 0.3495"
BASEMENTAREA_AVG,float64,3780,"0.0369, 0.0529, 0.0973, 0.1335, 0.0617"
YEARS_BEGINEXPLUATATION_AVG,float64,285,"0.9722, 0.9851, 0.9811, 0.9806, 0.9985"
YEARS_BUILD_AVG,float64,149,"0.6192, 0.7959999999999999, 0.7348, 0.9796, 0.8368"
COMMONAREA_AVG,float64,3181,"0.0143, 0.0605, 0.0582, 0.1143, 0.0018"
ELEVATORS_AVG,float64,257,"0.0, 0.08, 0.16, 0.4, 0.14"
ENTRANCES_AVG,float64,285,"0.069, 0.0345, 0.2069, 0.1379, 0.1724"
FLOORSMAX_AVG,float64,403,"0.0833, 0.2917, 0.1667, 0.3333, 0.6667"
FLOORSMIN_AVG,float64,305,"0.125, 0.3333, 0.375, 0.7083, 0.0417"
LANDAREA_AVG,float64,3527,"0.0369, 0.013, 0.0135, 0.0931, 0.1758"
LIVINGAPARTMENTS_AVG,float64,1868,"0.0202, 0.0773, 0.1202, 0.2849, 0.0227"
LIVINGAREA_AVG,float64,5199,"0.019, 0.0549, 0.0778, 0.1397, 0.3774"
NONLIVINGAPARTMENTS_AVG,float64,386,"0.0, 0.0039, 0.0193, 0.0077, 0.0019"
NONLIVINGAREA_AVG,float64,3290,"0.0, 0.0098, 0.1001, 0.0044, 0.0007"
APARTMENTS_MODE,float64,760,"0.0252, 0.0924, 0.084, 0.1502, 0.3561"
BASEMENTAREA_MODE,float64,3841,"0.0383, 0.0538, 0.101, 0.1386, 0.064"
YEARS_BEGINEXPLUATATION_MODE,float64,221,"0.9722, 0.9851, 0.9811, 0.9806, 0.9985"
YEARS_BUILD_MODE,float64,154,"0.6341, 0.804, 0.7452, 0.9804, 0.8432"
COMMONAREA_MODE,float64,3128,"0.0144, 0.0497, 0.0587, 0.1153, 0.0018"
ELEVATORS_MODE,float64,26,"0.0, 0.0806, 0.1611, 0.4028, 0.1208"
ENTRANCES_MODE,float64,30,"0.069, 0.0345, 0.2069, 0.1379, 0.1724"
FLOORSMAX_MODE,float64,25,"0.0833, 0.2917, 0.1667, 0.3333, 0.6667"
FLOORSMIN_MODE,float64,25,"0.125, 0.3333, 0.375, 0.7083, 0.0417"
LANDAREA_MODE,float64,3563,"0.0377, 0.0128, 0.0138, 0.0952, 0.1798"
LIVINGAPARTMENTS_MODE,float64,736,"0.022, 0.079, 0.1313, 0.3113, 0.0248"
LIVINGAREA_MODE,float64,5301,"0.0198, 0.0554, 0.081, 0.1456, 0.3932"
NONLIVINGAPARTMENTS_MODE,float64,167,"0.0, 0.0195, 0.0078, 0.0039, 0.0661"
NONLIVINGAREA_MODE,float64,3327,"0.0, 0.106, 0.0047, 0.0045, 0.0065"
APARTMENTS_MEDI,float64,1148,"0.025, 0.0968, 0.0833, 0.1489, 0.3529"
BASEMENTAREA_MEDI,float64,3772,"0.0369, 0.0529, 0.0973, 0.1335, 0.0617"
YEARS_BEGINEXPLUATATION_MEDI,float64,245,"0.9722, 0.9851, 0.9811, 0.9806, 0.9985"
YEARS_BUILD_MEDI,float64,151,"0.6243, 0.7987, 0.7383, 0.9799, 0.8390000000000001"
COMMONAREA_MEDI,float64,3202,"0.0144, 0.0608, 0.0585, 0.115, 0.0018"
ELEVATORS_MEDI,float64,46,"0.0, 0.08, 0.16, 0.4, 0.14"
ENTRANCES_MEDI,float64,46,"0.069, 0.0345, 0.2069, 0.1379, 0.1724"
FLOORSMAX_MEDI,float64,49,"0.0833, 0.2917, 0.1667, 0.3333, 0.6667"
FLOORSMIN_MEDI,float64,47,"0.125, 0.3333, 0.375, 0.7083, 0.0417"
LANDAREA_MEDI,float64,3560,"0.0375, 0.0132, 0.0137, 0.0947, 0.1789"
LIVINGAPARTMENTS_MEDI,float64,1097,"0.0205, 0.0787, 0.1223, 0.2899, 0.0231"
LIVINGAREA_MEDI,float64,5281,"0.0193, 0.0558, 0.0792, 0.1422, 0.3842"
NONLIVINGAPARTMENTS_MEDI,float64,214,"0.0, 0.0039, 0.0194, 0.0078, 0.0019"
NONLIVINGAREA_MEDI,float64,3323,"0.0, 0.01, 0.1022, 0.0045, 0.0007"
FONDKAPREMONT_MODE,str,4,"reg oper account, org spec account, reg oper spec account, not specified"
HOUSETYPE_MODE,str,3,"block of flats, terraced house, specific housing"
TOTALAREA_MODE,float64,5116,"0.0149, 0.0714, 0.0612, 0.1417, 0.3811"
WALLSMATERIAL_MODE,str,7,"Stone, brick, Block, Panel, Mixed, Wooden"
EMERGENCYSTATE_MODE,str,2,"No, Yes"
OBS_30_CNT_SOCIAL_CIRCLE,float64,33,"2.0, 1.0, 0.0, 4.0, 8.0"
DEF_30_CNT_SOCIAL_CIRCLE,float64,10,"2.0, 0.0, 1.0, 3.0, 4.0"
OBS_60_CNT_SOCIAL_CIRCLE,float64,33,"2.0, 1.0, 0.0, 4.0, 8.0"
DEF_60_CNT_SOCIAL_CIRCLE,float64,9,"2.0, 0.0, 1.0, 3.0, 5.0"
DAYS_LAST_PHONE_CHANGE,float64,3773,"-1134.0, -828.0, -815.0, -617.0, -1106.0"
FLAG_DOCUMENT_2,int64,2,"0, 1"
FLAG_DOCUMENT_3,int64,2,"1, 0"
FLAG_DOCUMENT_4,int64,2,"0, 1"
FLAG_DOCUMENT_5,int64,2,"0, 1"
FLAG_DOCUMENT_6,int64,2,"0, 1"
FLAG_DOCUMENT_7,int64,2,"0, 1"
FLAG_DOCUMENT_8,int64,2,"0, 1"
FLAG_DOCUMENT_9,int64,2,"0, 1"
FLAG_DOCUMENT_10,int64,2,"0, 1"
FLAG_DOCUMENT_11,int64,2,"0, 1"
FLAG_DOCUMENT_12,int64,2,"0, 1"
FLAG_DOCUMENT_13,int64,2,"0, 1"
FLAG_DOCUMENT_14,int64,2,"0, 1"
FLAG_DOCUMENT_15,int64,2,"0, 1"
FLAG_DOCUMENT_16,int64,2,"0, 1"
FLAG_DOCUMENT_17,int64,2,"0, 1"
FLAG_DOCUMENT_18,int64,2,"0, 1"
FLAG_DOCUMENT_19,int64,2,"0, 1"
FLAG_DOCUMENT_20,int64,2,"0, 1"
FLAG_DOCUMENT_21,int64,2,"0, 1"
AMT_REQ_CREDIT_BUREAU_HOUR,float64,5,"0.0, 1.0, 2.0, 3.0, 4.0"
AMT_REQ_CREDIT_BUREAU_DAY,float64,9,"0.0, 1.0, 3.0, 2.0, 4.0"
AMT_REQ_CREDIT_BUREAU_WEEK,float64,9,"0.0, 1.0, 3.0, 2.0, 4.0"
AMT_REQ_CREDIT_BUREAU_MON,float64,24,"0.0, 1.0, 2.0, 6.0, 5.0"
AMT_REQ_CREDIT_BUREAU_QRT,float64,11,"0.0, 1.0, 2.0, 4.0, 3.0"
AMT_REQ_CREDIT_BUREAU_YEAR,float64,25,"1.0, 0.0, 2.0, 4.0, 5.0"
EMPLOYED_SENTINEL,int64,2,"0, 1"
